Frame,EAR_Avg,Classification
0,0.25425075618862064,0
1,0.28548987957269406,0
2,0.2561294603008937,0
3,0.31690580763341525,0
4,0.28526104548769216,0
5,0.32462114630208816,0
6,0.31158293539433257,0
7,0.33019023141114623,0
8,0.30002451560656485,0
9,0.2950112439053675,0
10,0.30401176904141813,0
11,0.30963333109331126,0
12,0.3062954994444559,0
13,0.3314914256716044,0
14,0.32945000806419966,0
15,0.3321373834996386,0
16,0.3202076189968396,0
17,0.327494555165889,0
18,0.3208426733728975,0
19,0.31025392584042377,0
20,0.32650069370717283,0
21,0.3535251658279549,0
22,0.32308987886381774,0
23,0.320222078625785,0
24,0.3300681508272194,0
25,0.30040096987038567,0
26,0.3504489229619526,0
27,0.3090281054569854,0
28,0.33299238441507484,0
29,0.33992868265759923,0
30,0.3208282137439521,0
31,0.3300681508272194,0
32,0.3165180812928662,0
33,0.3503666929155075,0
34,0.33010971653817317,0
35,0.32483954387861286,0
36,0.330053691198274,0
37,0.34463883499309456,0
38,0.32400055155497565,0
39,0.3499260983377963,0
40,0.32945000806419966,0
41,0.32943554843525424,0
42,0.3103417459001076,0
43,0.3300681508272194,0
44,0.3333333333333333,0
45,0.34366909546456637,0
46,0.330053691198274,0
47,0.3399142230286539,0
48,0.3080135661523749,0
49,0.35555608454664345,0
50,0.3208426733728975,0
51,0.3165180812928662,0
52,0.31098691843969484,0
53,0.3146833152841576,0
54,0.3407104717154996,0
55,0.3103272862711622,0
56,0.3300681508272194,0
57,0.320222078625785,0
58,0.3195750166048744,0
59,0.30973372130061716,0
60,0.3329359510652522,0
61,0.31098691843969484,0
62,0.3301217241830259,0
63,0.32955762901918106,0
64,0.3208426733728975,0
65,0.30407001467276695,0
66,0.3097481809295626,0
67,0.3400898769683871,0
68,0.3236879683583269,0
69,0.3189568738418546,0
70,0.29978037512327316,0
71,0.3109478810182747,0
72,0.31028130259606307,0
73,0.31897611036797724,0
74,0.33418710191686163,0
75,0.3103518640636369,0
76,0.3399142230286539,0
77,0.33413915850605735,0
78,0.3366237781809936,0
79,0.3206881837908213,0
